count,day
82.22,2018-12-08
26.43,2018-12-15
26.16,2018-12-23
31.22,2019-01-06
21.69,2019-01-09
17.61,2019-01-13
43.62,2019-01-20
24.23,2019-01-26
18.1,2019-01-27
19.93,2019-02-09
9.11,2019-02-11
9.31,2019-02-12
15.88,2019-02-15
20.39,2019-02-16
17.64,2019-02-24
14.1,2019-02-25
16.63,2019-03-02
6.06,2019-03-17
39.31,2019-03-24
5.72,2019-03-27
26.59,2019-03-28
29.27,2019-03-29
30.98,2019-03-31
30.84,2019-04-28
20.68,2019-05-04
13.43,2019-05-05
31.259999999999998,2019-05-12
21.21,2019-05-15
15.84,2019-05-17
21.83,2019-05-20
21.63,2019-05-29
22.28,2019-06-06
12.69,2019-06-17
30.24,2019-06-29
41.95,2019-06-30
12.67,2019-07-10
25.55,2019-07-28
20.47,2019-08-03
12.77,2019-08-17
37.69,2019-08-22
8.95,2019-08-23
20.99,2019-08-28
22.13,2019-09-09
18.08,2019-09-29
10.69,2019-10-12
20.48,2019-10-14
20.5,2019-10-22
47.010000000000005,2019-10-24
0.019999999999999574,2019-10-25
5.98,2019-10-27
50.09,2019-10-28
171.25,2019-11-12
26.95,2019-11-17
29.04,2019-11-18
71.61,2019-11-19
92.94,2019-11-20
43.24,2019-11-24
121.45,2019-11-26
36.41,2019-12-05
-6.0,2019-12-09
18.45,2019-12-15
32.93,2019-12-23
